arxiv_id,url,host,status,public,default_branch,pushed_at,size_kb,stars,archived,empty,note
2508.19200,github.com/colinzhaoust/ramon,github,404,,,,,,,,not found or private
2508.19200,github.com/tatsu-lab/alpaca,github,404,,,,,,,,not found or private
2508.20254,github.com/rbulanadi/INS2ANE,github,200,True,main,2025-09-11,32,0,False,False,
2509.05351,github.com/An-xu/SDL_LCST_OP,github,200,True,main,2025-09-11,3765,0,False,False,
2509.06283,github.com/0russwest0/Agent-R1,github,200,True,main,2026-07-21,8165,1571,False,False,
2509.06733,github.com/MiroMindAI/MiroFlow,github,200,True,main,2026-07-06,9617,3084,False,False,
2509.06733,github.com/bytedance/deer-flow,github,200,True,main,2026-07-26,48400,77855,False,False,
2509.06733,github.com/dzhng/deep-research,github,200,True,main,2026-04-11,74,19420,False,False,
2509.06733,github.com/wenjunli-0/deepresearch-survey,github,200,True,main,2025-09-09,1450,48,False,False,
2509.06733,github.com/willccbb/verifiers,github,200,True,main,2026-07-25,233982,4400,False,False,
2509.06917,github.com/google-deepmind/alphagenome,github,200,True,main,2026-07-16,17408,1959,False,False,
2509.06917,github.com/jmiao24/Paper2Agent,github,200,True,main,2026-02-10,593,2309,False,False,
2509.06917,github.com/scverse/scanpy,github,200,True,main,2026-07-25,48156,2522,False,False,
2509.06917,github.com/sunericd/TISSUE,github,200,True,master,2024-03-10,18693,45,False,False,
2509.06917,huggingface.co/spaces/Paper2Agent,huggingface,401,,,,,,,,
2509.08713,github.com/niharshah/AIScientistPitfalls,github,200,True,main,2025-09-14,1250706,9,False,False,
2509.12282,github.com/gsasikiran/TIB-webapp,github,200,True,main,2026-02-17,8646,0,False,False,
2509.13309,github.com/Alibaba-NLP/DeepResearch,github,200,True,main,2026-02-27,309493,19722,False,False,
2509.13309,github.com/MiroMindAI/MiroThinker,github,200,True,main,2026-07-06,14656,8349,False,False,
2509.13310,github.com/Alibaba-NLP/DeepResearch,github,200,True,main,2026-02-27,309493,19722,False,False,
